,precision,recall,f1-score,support
0,0.7242102320380207,0.39022369511184757,0.5071704762370908,13277.0
1,0.7228512609366958,0.8613544769581216,0.7860483709774135,22828.0
2,0.7821197638459376,0.914229378902399,0.843030303030303,3043.0
3,0.8999309704601176,0.9208417565823124,0.9102662878605479,41057.0
4,0.0,0.0,0.0,0.0
5,0.0008216926869350862,0.09090909090909091,0.0016286644951140066,11.0
6,0.0,0.0,0.0,0.0
7,0.528686508424548,0.5001163399453202,0.514004723044271,34382.0
8,0.646786378649254,0.6581931271610423,0.6524399000488268,51769.0
accuracy,0.7014792597089567,0.7014792597089567,0.7014792597089567,0.7014792597089567
macro avg,0.4783785341157232,0.48176309617445934,0.46828763618817404,166367.0
weighted avg,0.7039006337708892,0.7014792597089567,0.6976410484478849,166367.0
